ranking,participant,first_name,last_name,time,distance_km,date_of_competiton,competition,place_of_comp,date_of_birth,age_at_comp,place_of_birth,country_of_birth,nationality,height_cm,weight_kg
7,Abdi Bashi,Abdi,Bashi,2:07:03,42.195,28/04/2019,Virgin Money London Marathon 2019,"London, GBR",10/2/1989,30.2,Mogadishu,SOM,BEL,177.8,55.79
8,Leul Gebrselassie,Leul,Gebrselassie,2:07:15,42.195,28/04/2019,Virgin Money London Marathon 2019,"London, GBR",18/04/1973,46.02,Assela,ETH,ETH,164,54
9,Yassine Rachik,Yassine,Rachik,2:08:05,42.195,28/04/2019,Virgin Money London Marathon 2019,"London, GBR",11/6/1993,25.47,Casablanca,MAR,ITA,172.72,55.79
10,Callum Hawkins,Callum,Hawkins,2:08:14,42.195,28/04/2019,Virgin Money London Marathon 2019,"London, GBR",22/06/1992,26.84,Elderslie,GBR,GBR,179,62.14
1,Shura Kitata,Shura,Kitata,2:05:41,42.195,4/10/20,Virgin Money London Marathon 2020,"London, GBR",9/6/1996,24.32,,ETH,ETH,175.26,
2,Vincent Kipchumba,Vincent,Kipchumba,2:05:42,42.195,4/10/20,Virgin Money London Marathon 2020,"London, GBR",3/8/1990,30.17,,KEN,KEN,,
3,Sisay Lemma,Sisay,Lemma,2:05:45,42.195,4/10/20,Virgin Money London Marathon 2020,"London, GBR",12/12/1990,29.81,,ETH,ETH,,
4,Mosinet Geremew,Mosinet,Geremew,2:05:04,42.195,4/10/20,Virgin Money London Marathon 2020,"London, GBR",12/2/1992,28.64,,ETH,ETH,174,57
5,Mule Wasihun,Mule,Wasihun,2:06:08,42.195,4/10/20,Virgin Money London Marathon 2020,"London, GBR",20/10/1993,26.95,,ETH,ETH,,
6,Tamirat Tola,Tamirat,Tola,2:06:41,42.195,4/10/20,Virgin Money London Marathon 2020,"London, GBR",11/8/1991,29.14,,ETH,ETH,180.34,58.96
7,Benson Kipruto,Benson,Kipruto,2:06:42,42.195,4/10/20,Virgin Money London Marathon 2020,"London, GBR",17/03/1991,29.55,,KEN,KEN,,
8,Eliud Kipchoge,Eliud,Kipchoge,2:06:49,42.195,4/10/20,Virgin Money London Marathon 2020,"London, GBR",5/11/1984,35.91,Nandi County,KEN,KEN,167.64,52.16
9,Sondre Nordstad Moen,Sondre,Nordstad Moen,2:09:01,42.195,4/10/20,Virgin Money London Marathon 2020,"London, GBR",12/1/1991,29.72,Trondheim,NOR,NOR,177.8,62.1422
10,Marius Kipserem,Marius,Kipserem,2:09:25,42.195,4/10/20,Virgin Money London Marathon 2020,"London, GBR",17/05/1988,32.38,,KEN,KEN,,
1,Lawrence Cherono,Lawrence,Cherono,2:04:06,42.195,21/10/2018,TCS Amsterdam Marathon 2018,"Amsterdam, NED",7/8/1988,30.28,Eldoret,KEN,KEN,,
2,Mule Wasihun,Mule,Wasihun,2:04:37,42.195,21/10/2018,TCS Amsterdam Marathon 2018,"Amsterdam, NED",20/10/1993,25,,ETH,ETH,,
3,Solomon Deksisa,Solomon,Deksisa,2:04:40,42.195,21/10/2018,TCS Amsterdam Marathon 2018,"Amsterdam, NED",11/3/1994,24.61,,ETH,ETH,,
4,Gideon Kipketer,Gideon,Kipketer,2:06:15,42.195,21/10/2018,TCS Amsterdam Marathon 2018,"Amsterdam, NED",10/11/1992,25.94,,KEN,KEN,,
5,Kaan Ozbilen,Kaan,Ozbilen,2:06:24,42.195,21/10/2018,TCS Amsterdam Marathon 2018,"Amsterdam, NED",15/01/1986,32.76,,KEN,TUR,177.8,57.15
6,Laban Korir,Laban,Korir,2:06:33,42.195,21/10/2018,TCS Amsterdam Marathon 2018,"Amsterdam, NED",30/06/1985,33.3,Uasin Gishu County,KEN,KEN,160.02,49.89
7,Tadu Abate,Tadu,Abate,2:06:33,42.195,21/10/2018,TCS Amsterdam Marathon 2018,"Amsterdam, NED",,,,ETH,ETH,,
8,Jonathan Korir,Jonathan,Korir,2:06:47,42.195,21/10/2018,TCS Amsterdam Marathon 2018,"Amsterdam, NED",29/12/1982,35.81,,KEN,KEN,,
9,Hillary Kipsambu,Hillary,Kipsambu,2:07:20,42.195,21/10/2018,TCS Amsterdam Marathon 2018,"Amsterdam, NED",4/2/1985,33.7,,KEN,KEN,,
10,Yenew Alamirew,Yenew,Alamirew,2:10:35,42.195,21/10/2018,TCS Amsterdam Marathon 2018,"Amsterdam, NED",27/05/1990,28.4,,ETH,ETH,177.8,57.15
1,Vincent Kipchumba,Vincent,Kipchumba,2:05:09,42.195,20/10/2019,TCS Amsterdam Marathon 2019,"Amsterdam, NED",3/8/1990,29.21,,KEN,KEN,,
2,Solomon Deksisa,Solomon,Deksisa,2:05:16,42.195,20/10/2019,TCS Amsterdam Marathon 2019,"Amsterdam, NED",11/3/1994,25.6,,ETH,ETH,,
3,Elisha Rotich,Elisha,Rotich,2:05:18,42.195,20/10/2019,TCS Amsterdam Marathon 2019,"Amsterdam, NED",12/4/1990,29.52,,KEN,KEN,,
4,Betesfa Getahun,Betesfa,Getahun,2:05:28,42.195,20/10/2019,TCS Amsterdam Marathon 2019,"Amsterdam, NED",25/09/1998,21.06,,ETH,ETH,,
5,Fentahun Hunegnaw,Fentahun,Hunegnaw,2:06:04,42.195,20/10/2019,TCS Amsterdam Marathon 2019,"Amsterdam, NED",,,,ETH,ETH,,
6,Tadu Abate,Tadu,Abate,2:06:13,42.195,20/10/2019,TCS Amsterdam Marathon 2019,"Amsterdam, NED",11/9/1997,22.1,,ETH,ETH,,
7,Morris Gachaga,Morris,Gachaga,2:06:24,42.195,20/10/2019,TCS Amsterdam Marathon 2019,"Amsterdam, NED",7/4/1995,24.53,,KEN,KEN,155,54
8,Daniel Kemboi,Daniel,Kemboi,2:06:31,42.195,20/10/2019,TCS Amsterdam Marathon 2019,"Amsterdam, NED",1/1/1993,26.79,,KEN,KEN,,
9,Abdi Nageeye,Abdi,Nageeye,2:07:39,42.195,20/10/2019,TCS Amsterdam Marathon 2019,"Amsterdam, NED",2/3/1989,30.63,Mogadishu,SOM,NED,165.1,53.97
10,Abrar Osman,Abrar,Osman,2:07:46,42.195,20/10/2019,TCS Amsterdam Marathon 2019,"Amsterdam, NED",1/1/1994,25.79,,ERI,ERI,167.64,58.05
1,Mo Farah,Mo,Farah,2:05:11,42.195,7/10/2018,Chicago Marathon 2018,"Chicago, USA",23/03/1983,35.54,Mogadishu,SOM,GBR,175.26,58.05
2,Mosinet Geremew,Mosinet,Geremew,2:05:24,42.195,7/10/2018,Chicago Marathon 2018,"Chicago, USA",12/2/1992,26.65,Addis Abeba,ETH,ETH,174,57
3,Suguru Osako,Suguru,Osako,2:05:50,42.195,7/10/2018,Chicago Marathon 2018,"Chicago, USA",23/05/1991,27.37,Tokyo,JPN,JPN,170,52
4,Kenneth Kipkemoi,Kenneth,Kipkemoi,2:05:57,42.195,7/10/2018,Chicago Marathon 2018,"Chicago, USA",2/8/1984,34.17,Beringen,KEN,KEN,,
5,Galen Rupp,Galen,Rupp,2:06:21,42.195,7/10/2018,Chicago Marathon 2018,"Chicago, USA",8/5/1986,32.41,Portland,USA,USA,180.34,60.78
6,Geoffrey Kirui,Geoffrey,Kirui,2:06:45,42.195,7/10/2018,Chicago Marathon 2018,"Chicago, USA",16/02/1993,25.63,Nyeri,KEN,KEN,158,50
7,Abel Kirui,Abel,Kirui,2:07:52,42.195,7/10/2018,Chicago Marathon 2018,"Chicago, USA",4/6/1982,36.34,Bomet,KEN,KEN,175.26,58.05
8,Taku Fujimoto,Taku,Fujimoto,2:07:57,42.195,7/10/2018,Chicago Marathon 2018,"Chicago, USA",11/9/1989,29.07,Osaka,JPN,JPN,165,53.97
9,Bedan Karoki,Bedan,Karoki,2:07:59,42.195,7/10/2018,Chicago Marathon 2018,"Chicago, USA",21/08/1990,38.12,Nyahururu County,KEN,KEN,167.64,53.97
10,Birhanu Legese,Birhanu,Legese,2:08:42,42.195,7/10/2018,Chicago Marathon 2018,"Chicago, USA",11/9/1994,23.82,Waliso,ETH,ETH,168,
1,Lawrence Cherono,Lawrence,Cherono,2:05:45,42.195,13/10/2019,Bank of America Chicago Marathon 2019,"Chicago, USA",7/8/1988,31.18,Eldoret,KEN,KEN,,
2,Dejene Debela,Dejene,Debela,2:05:46,42.195,13/10/2019,Bank of America Chicago Marathon 2019,"Chicago, USA",9/1/1995,24.11,,ETH,ETH,,
3,Asefa Mengstu,Asefa,Mengstu,2:05:48,42.195,13/10/2019,Bank of America Chicago Marathon 2019,"Chicago, USA",22/1/1988,31.72,,ETH,ETH,,
4,Bedan Karoki,Bedan,Karoki,2:05:53,42.195,13/10/2019,Bank of America Chicago Marathon 2019,"Chicago, USA",21/08/1990,29.14,Nyandarua,KEN,KEN,167.64,53.97
5,Bashir Abdi,Bashir,Abdi,2:06:14,42.195,13/10/2019,Bank of America Chicago Marathon 2019,"Chicago, USA",10/2/1989,30.66,Mogadishu,SOM,BEL,177.8,55.79
6,Seifu Tura,Seifu,Tura,2:08:35,42.195,13/10/2019,Bank of America Chicago Marathon 2019,"Chicago, USA",,,,ETH,ETH,,
7,Dickson Chumba,Dickson,Chumba,2:09:11,42.195,13/10/2019,Bank of America Chicago Marathon 2019,"Chicago, USA",27/10/1986,32.96,Nandi County,KEN,KEN,,
8,Mo Farah,Mo,Farah,2:09:58,42.195,13/10/2019,Bank of America Chicago Marathon 2019,"Chicago, USA",23/03/1983,36.55,Mogadishu,SOM,GBR,175.26,58.05
9,Jacob Riley,Jacob,Riley,2:10:36,42.195,13/10/2019,Bank of America Chicago Marathon 2019,"Chicago, USA",2/11/1988,35.94,,USA,USA,180.33,70.3
10,Jerrell Mock,Jerrell,Mock,2:10:53,42.195,13/10/2019,Bank of America Chicago Marathon 2019,"Chicago, USA",1/1/1995,24.78,Utah,USA,USA,,
